id,author_details,title,isbn,publisher,date_published,bookshelf,series_details,pages,description,genre,book_uuid
11,"Compagnon, Antoine|Guerra, Monica",Il Demone Della Teoria. Letteratura E Senso Comune,9788806155339,Einaudi,2000-01-01,"Romanzi,",,313,"Strutturalismo, formalismo, semiologia, narratologia. Esiste ancora, oggi, la possibilità di elaborare una teoria della letteratura? Ripercorrendo in modo esauriente il dibattito culturale e le posizioni delle principali scuole di pensiero che si sono date battaglia dagli anni Sessanta ad oggi, Antoine Compagnon offre uno strumento ideale di orientamento e ricostruzione dell'intricato mondo della teoria e critica della letteratura, esplorato secondo secondo fondamentali concetti guida: l'autore, il mondo, la lettura, lo stile, la storia e il valore letterari. Si parte dall'idea d'una incompatibilità: fra le rigorose esigenze della teoria e i postulati spontanei del senso comune. Critico delle coerenze assolute e terroriste della teoria, ma convinto che le ragioni del senso comune non si lascino mettere a tacere, Compagnon nega ogni giusto mezzo e pretende di condannarci alla perplessità. Fa invece di piú e meglio: ci costringe, di capitolo in capitolo, a constatare come non stia sempre dalla stessa parte. ""Passare in rassegna i nemici della teoria mi sembra il modo migliore, il solo modo, in ogni caso il piú economico, per darne conto in modo affidabile, per ricostruirne i passi, dare testimonianza della sua energia, renderla viva, tanto piú che continua a essere indispensabile, dopo piú di un secolo, descrivere l'arte moderna in base alee convenzioni da essa negate"".",Literary Criticism / General,560d848d05678eecfd3087e34ddac329
12,"Carandini, Andrea|De Stefano, Francesco","Su Questa Pietra. Gesù, Pietro E La Nascita Della Chiesa",9788858109144,Laterza,2013-01-01,"Romanzi,",,222,"Il mistero di Pietro, pescatore, primo apostolo, pietra angolare della Chiesa cristiana: un uomo mite, illetterato, di umana debolezza, eppure, alla morte di Gesù, capace di prendere le redini di una comunità che individuerà nel suo magistero la più alta carica, quella di pontefice. Un uomo la cui biografia è costellata di momenti oscuri: chi era realmente Pietro? L'archeologia offre notevoli contributi alla ricostruzione di una storia cominciata a Cafarnao, fra gli imperi di Augusto e Nerone, e non ancora terminata: dall'ampia casa di Pietro in Galilea, dove Gesù fu ospitato, fino alla sua tomba, rinvenuta sotto l'altare maggiore della basilica di San Pietro, mai adeguatamente analizzata e valorizzata, e coincidente con il ""trofeo di Pietro"" descritto dal presbitero Gaio.",Social Science / Archaeology,f7fbc590d95788b329efc8a10264a0a0
13,"Phillips, Jonathan|Jonathan, PHILLIPS",Sacri Guerrieri. La Straordinaria Storia Delle Crociate,9788842094364,Laterza,2011-01-01,"Romanzi,",,458,"Traduzione di Cristina Spinoglio. Cartine in bianco e nero 8vo pp. 460 ril, sovrac (hard cover, DJ)",History / Medieval,f040ea35ad1618bde9b7fe021a10f8cd
14,"Follett, Ken|Rambelli, Roberta",I Pilastri Della Terra,9788804413479,Arnoldo Mondadori,1996-01-01,"Romanzi,",The Pillars of the Earth (1)|Oscar Bestsellers|Kingsbridge (1),1030,"Un mistery e, allo stesso tempo, una sensuale storia d'amore ambientata tra i costruttori delle grandi cattedrali del medioevo. Azioni, colpi di scena e oscure passioni sullo sfondo di un'era ricca di intrighi e tradimenti, pericoli e minacce, conflitti e lotte spietate per la conquista del potere. <br>",Fiction / Historical,79e7bdd31a73aafa7e2c0337fc09c9c1
15,"Diamond, Jared|Civalleri, Luigi|Cavalli-Sforza, Luigi Luca|Cavalli-Sforza, Francesco","Armi, Acciaio E Malattie: Breve Storia Del Mondo Negli Ultimi Tredicimila Anni",9788806183547,Einaudi,2006-01-01,"Romanzi,",,400,"Perché gli europei hanno assoggettato gran parte degli altri popoli? Secondo Diamond le diversità culturali affondano le loro radici in diversità geografiche, ecologiche e territoriali sostanzialmente legate al caso. Armato di questa idea, l'autore può lanciarsi in un appassionante giro del mondo, alla ricerca di casi esemplari con i quali illustrare e mettere alla prova le sue teorie. Attingendo alla linguistica, all'archeologia, alla genetica molecolare e a mille altre fonti di conoscenza, Diamond riesce a condurre questo ""tour de force"" storico-culturale con sorprendente maestria, affiancando aneddoti personali a racconti drammatici o a spiegazioni di complesse teorie biologiche, che affronta con abilità di divulgatore.",Social Science / Anthropology / General,59c429cf5886bb7c9a2bb268ae082075
16,"Eco, Umberto|Carrière, Jean-Claude|De Tonnac, J. P.|de Tonnac, Jean-Philippe",Non Sperate Di Liberarvi Dei Libri,9788845267031,Bompiani,2011-03-22,"Romanzi,",Italian Edition,250,"La gaia scienza: raramente l'espressione nietzschiana è stata così azzeccata per un libro... un libro sui libri! Dal papiro ai supporti elettronici, percorriamo duemila anni di storia del libro attraverso una discussione contemporaneamente erudita e divertente, colta e personale, filosofica e aneddotica, curiosa e gustosa. Passiamo attraverso tempi diversi e diversi luoghi; incontriamo persone reali insieme a personaggi inventati; vi troviamo l'elogio della stupidità, l'analisi della passione del collezionista, le ragioni per cui una certa epoca genera capolavori, il modo in cui funzionano la memoria e la classificazione di una biblioteca. Veniamo a sapere perché 'i polli ci hanno messo un secolo per imparare a non attraversare la strada' e perché 'la nostra conoscenza del passato è dovuta a dei cretini, degli imbecilli o degli avversari'. Insomma, godiamo della 'furia letteraria' di due appassionati che ci trascinano nella loro folle girandola in cui ogni giro sorprende, distrae, insegna. In questi tempi di oscurantismo galoppante, forse è il più bell'omaggio che si possa fare alla cultura e l'antidoto più efficace al disincanto.",Social Science / Anthropology / Cultural,14e55187e2cac6a296ff3269839219d9
17,"Saviano, Roberto",Zerozerozero,9788807030536,Feltrinelli,2013-04-05,"Romanzi,",,448,"""Scrivere di cocaina è come farne uso. Vuoi sempre più notizie, più informazioni, e quelle che trovi sono succulente, non ne puoi più fare a meno. Sei addicted. Anche quando sono riconducibili a uno schema generale che hai già capito, queste storie affascinano per i loro particolari. E ti si ficcano in testa, finché un'altra - incredibile, ma vera - prende il posto della precedente. Davanti vedi l'asticella dell'assuefazione che non fa che alzarsi e preghi di non andare mai in crisi di astinenza. Per questo continuo a raccoglierne fino alla nausea, più di quanto sarebbe necessario, senza riuscire a fermarmi. Sono fiammate che divampano accecanti. Assordanti pugni nello stomaco. Ma perché questo rumore lo sento solo io? Più scendo nei gironi imbiancati dalla coca, e più mi accorgo che la gente non sa. C'è un fiume che scorre sotto le grandi città, un fiume che nasce in Sudamerica, passa dall'Africa e si dirama ovunque. Uomini e donne passeggiano per via del Corso e per i boulevard parigini, si ritrovano a Times Square e camminano a testa bassa lungo i viali londinesi. Non sentono niente? Come fanno a sopportare tutto questo rumore?"" (Roberto Saviano)",,2b6ed2a91bf7dca342453ad97882301c
18,"Eco, Umberto|Eco, Umberto.",Costruire Il Nemico E Altri Scritti Occasionali,9788845265853,Bompiani,2011-04-01,"Romanzi,",,336,"Il vero titolo di questa raccolta avrebbe dovuto essere il suo sottotitolo, ovvero “scritti occasionali”.<br>Solo la giusta preoccupazione dell’editore, che un titolo così pomposamente modesto potesse non attirare l’attenzione del lettore, mentre quello del primo saggio presenta qualche motivo di curiosità, ha fatto propendere per la scelta finale.<br>La virtù di uno scritto occasionale è data dal fatto che di solito l’autore non pensava affatto di doversi occupare di un certo argomento ma vi è stato spinto dall’invito a una serie di conversazioni o saggi a tema, che lo hanno indotto a riflettere su qualcosa che avrebbe altrimenti trascurato.<br>Ed ecco qui una serie di variazioni talora impegnate e talora divertite su temi come l’Assoluto, il Fuoco, il perché piangiamo sulla sorte di Anna Karenina, le astronomie immaginarie, i tesori delle cattedrali, le Isole Perdute, Victor Hugo e i suoi eccessi, le veline, il meccanismo dell’agnizione nel romanzo d’appendice, la fortuna o sfortuna di Joyce nell’epoca fascista, eccetera.<br>Tuttavia, che il titolo dell’insieme sia stato desunto dal primo scritto non è casuale, perché alla costruzione del Nemico l’autore si è appena dedicato nel suo ultimo romanzo, <em>Il cimitero di Praga</em>, né questo meccanismo perverso si è ancora arrestato perché, per tenere i popoli a freno, di Nemici bisogna sempre inventarne, e dipingerli in modo che suscitino paura e ripugnanza.",Social Science / Popular Culture,488135fb8f3089b9733d45890704d68d
19,"Presta, Marco",Un Calcio in Bocca Fa Miracoli,9788806206321,Einaudi,2011-02-01,"Romanzi,",,190,"Il protagonista di questo libro è un vecchio scorbutico, vitale, simpaticissimo, che fa i conti con l'ostinazione della sua prostata, con un'insana passione per la portinaia e con la sua amicizia per Armando, aspirante Cupido in pensione.  L'ironia e il caratteraccio invecchiando migliorano come la grappa, per questo ci diverte così tanto la sua voce cinica, borbottante, capace di battute fulminanti sempre in bilico tra la sciocchezza e il colpo di genio.  Dentro quella voce, poi, ne sentiamo guizzare un'altra che conosciamo bene: quella di Marco Presta, autore della trasmissione cult «Il ruggito del coniglio».",Fiction / General,ede7110756b6564d9616cbfdc0d9f09b
20,"Capossela, Vinicio",Non Si Muore Tutte le Mattine,9788807016479,Feltrinelli,2004-04-01,"Romanzi,",Italian Edition,333,"Una stagione all'inferno. Dove l'inferno è l'io di chi racconta e insieme la scena, metropolitana, suburbana, in cui si muove, accompagnato dall'amico di sempre, Nutless e dall'amico alcolico e diabolico, Chinaski. Si procede muovendo dal centro verso l'esterno, dal chiuso di uno scantinato verso il quartiere e poi verso l'angoscia delle tangenziali, della piana ""ipermercata"", e verso un surreale interregno dove tutto può accadere. Oltre, vi è solo il viaggio, un viaggio lungo le strade defraudate di storia e di vita della ""Balcanìa"", verso i confini estremi di ""Stanbùl"", nelle taverne in cui la musica del rebetico riconferma vitalità e sconfitta. Epopea di perdenti, unica razza che ha potuto conoscere la grandezza e la bellezza.",Fiction / General,dec82c46c964e895169e1f4c60d88f71
21,"Rampini, Federico|Rampini, Federico.",Alla Mia Sinistra. Lettera Aperta a Tutti Quelli Che Vogliono Sognare Insieme a Me,9788804613725,Mondadori,2011-01-01,"Romanzi,",,228,"<em>Alla mia sinistra</em> è un saggio che riprende alcune idee che appartengono alla sinistra più tradizionalista. Il giornalista Federico Rampini racconta il suo punto di vista sull'attuale situazione sociale ed economica del nostro Paese, facendo marcia indietro rispetto alla visione che aveva nel 2000, cioè nel periodo che ha preceduto la crisi economica. In quei tempi non sospetti, infatti, molti economisti e intellettuali di sinistra avevano sposato alcune idee di liberismo e progresso che storicamente appartenevano alla destra. Purtroppo però la terribile crisi economica che si è abbattuta sui mercati di tutto il mondo nel 2008 ha spazzato via quella corrente di pensiero. La bolla finanziaria, infatti, è scoppiata colpendo quasi esclusivamente le fasce medie e basse della popolazione, distruggendo al tempo stesso le velleità di continuare a percorrere la strada del liberismo progressista.<br>Secondo Rampini ora il mondo occidentale dovrebbe fare un passo indietro, tornando ad un ideale di sinistra più tradizionale, cercando il benessere della società e attuando politiche energetiche che tendano a preservare il verde, l'ambiente e le energie rinnovabili. Porta come esempi da seguire i modelli politici perseguiti dal presidente del Brasile Lula e dagli Stati Uniti di Obama, in cui la crescita economica va di pari passo con l'integrazione sociale, modelli di gestione che promuovono il consumo sostenibile e sostengono il progresso attraverso forti finanziamento dello Stato al settore ricerca e sviluppo.<br>Federico Rampini con <em>Alla mia sinistra</em> racconta la sua redenzione, il suo ritornare alle vecchie idee di sinistra, al fine di evitare un lento ed inesorabile declino.","Political Science / Political Ideologies / Communism, Post-Communism & Socialism",4318d834a276c30775055af8d7f8f20c
22,"Luther Blisset, |Blissett, Luther|Monreal, José Ramón|Blisset, Luther",Q,9788499081137,Debolsillo,2009-08-30,"Romanzi,",Spanish Edition,643,"Calificada por los críticos como obra maestra y comparada insistentemente con El nombre de la rosa, Q es una larga novela ambientada en el siglo XVI. La obra se desarrolla a lo largo de treinta años por distintos países de la Europa de la Contrarreforma, y en ella decenas de personajes conforman un prodigioso fresco de la época. Así pues, Q es una novela histórica, pero también y ante todo, es una novela de aventuras y espionaje donde el verdadero protagonista es la multitud: herejes, espías, putas, cortesanos, mercenarios, profetas improvisados, siervos... Una novela coral en estilo y contenido que en todos los países en los que ha sido traducida ha cosechado un rotundo éxito.",Romanzo Storico,bebc4fe75ff8a6223364b37748d83dde
23,"Zerocalcare, ",Ogni Maledetto Lunedì Su Due,9788865431559,Bao Publishing,2013-05-03,"Romanzi,",,213,"Quasi due anni di blog. Uno spaccato generazionale divertentissimo, ma tutt'altro che disimpegnato; il manifesto di una generazione, raccontato attraverso le sfaccettate manifestazioni della coscienza, della morale e della cultura di Zerocalcare, che vanno dall'immancabile armadillo a un'infinità di icone dell'animazione, della TV, della cultura pop a cavallo tra anni Ottanta e Novanta. Corredato da quasi cinquanta pagine di materiale inedito a colori, <em>Ogni maledetto lunedì su due</em> è il più grosso volume di storie di Zerocalcare finora e documenta in maniera onesta, divertita e spietata la perdita delle illusioni e il bisogno di protrarre il più possibile il tempo in cui ci si può dire responsabili, senza ammettere di essere adulti.",Humor / Form / Comic Strips & Cartoons,8bfca1bdab578244a3e3e6b3920cac9b
24,"Zerocalcare, ",Un Polpo Alla Gola,9788865431139,Bao Publishing,2012-10-19,"Romanzi,",,190,"Tre amici, un comprensorio scolastico, un segreto. E quindici anni dopo, scoprire che ciascuno di loro credeva che il segreto fosse uno solo, ma che ognuno aveva il suo. E che ce n'era uno, più grande, che nessuno di loro sapeva. Il secondo, attesissimo libro di Zerocalcare lo conferma come un narratore intelligente, delicato, spietato nei confronti delle proprie debolezze, che forse sono quelle di tutti noi. Una storia lunga spezzata in tre momenti della crescita del giovane Calcare, accomunati dalla persistente sensazione di avere un polpo alla gola.",Comics & Graphic Novels / General,1e839f4622e61b5238c307d712afe7a0
25,"Zerocalcare, |Leopardi, Valeria|Makkox, ",La Profezia Dell'armadillo,9788865431030,Bao Publishing,2012-01-01,"Romanzi,",,144,"Dopo quattro edizioni autoprodotte andate esaurite nel giro di pochi mesi, il primo, introvabile libro di Zerocalcare torna in tutte le librerie e le fumetterie grazie a BAO Publishing, in un'inedita versione a colori curata da Makkox in persona. Le storie autobiografiche, dolciamare di Zerocalcare come non le avete mai viste prima, in un volume che semplicemente non vi potete permettere di non avere.",Comics & Graphic Novels / General,6be453d1a72727c0a95137e47654c67b
26,"Cantone, Francesca","Archeofoss. Open Source, Free Software E Open Format Nei Processi Di Ricerca Archeologica. Atti Del Vi Workshop",9788874780327,Naus,2012-11,"Informatica,","Napoli, 9-10 giugno (2011)",304,,Social Science / Archaeology,9e146fc9389a9358819b17608600554c
27,"Pennac, Daniel|Mélaouah, Yasmina",Storia Di Un Corpo,9788807019210,Feltrinelli,2012-10-01,"Romanzi,",,344,"24 luglio 2010. Tornata a casa dopo il funerale del padre, Lison si vede consegnare un pacco, un regalo post mortem del defunto genitore: è un curioso diario del corpo che lui ha tenuto dall'età di dodici anni fino agli ultimi giorni della sua vita. Al centro di queste pagine regna il corpo, con tutta la sua fisicità, dell'io narrante che ci accompagna nel mondo, facendocelo scoprire attraverso i sensi: la voce stridula di una madre anaffettiva, l'odore dell'amata tata Violette, il sapore di caffè di cicoria degli anni di guerra, il profumo asprigno della merenda povera a base di pane e mosto d'uva. Giorno dopo giorno, con poche righe asciutte o ampie frasi a coprire svariate pagine, il narratore ci racconta un viaggio straordinario, il viaggio di una vita, con tutte le sue strepitose scoperte, con le sue grandezze e le sue miserie. Con la curiosità e la tenerezza del suo sguardo attento, con l'amore pudico con cui sempre osserva gli uomini, Pennac trova qui le parole giuste per raccontare la sola storia che ci fa davvero tutti uguali: grandiose e vulnerabili creature umane.",,58f091536218265034fa37697c845a2c
28,"Luttazzi, Daniele",Lolito,9772037089358,,2013-02,"Romanzi,",,527,,Satira Politica,f63960a0247c423515356f44644136d1
29,"Ginzburg, Carlo|Cousseau, Alex|Turin, Philippe-Henri",Il Formaggio E I Vermi. Il Cosmo Di Un Mugnaio Del '500,9788806153779,Einaudi,2006-02-16,"Romanzi,",Italian Edition,196,"""In passato si potevano accusare gli storici di voler conoscere soltanto le gesta dei re. Oggi, certo, non è più così. Sempre più essi si volgono verso ciò che i loro predecessori avevano taciuto, scartato o semplicemente ignorato. ""Chi costruì Tebe dalle sette porte?"" chiedeva già il ""lettore operaio"" di Brecht. Le fonti non ci dicono niente di quegli anonimi muratori: ma la domanda conserva tutto il suo peso"". Carlo Ginzburg analizza la visione del mondo di un mugnaio friulano mandato al rogo dall'Inquisizione alla fine del Cinquecento: non si tratta di una dissertazione erudita, di un'arida ricerca dell'inedito o del sensazionale. L'irriducibilità a schemi noti di una parte dei discorsi di Menocchio fa intravedere uno strato ancora non scandagliato di credenze popolari, di oscure mitologie contadine. Ma ciò che rende più complicato il caso di Menocchio è il fatto che questi oscuri elementi popolari sono innestati in un complesso di idee estremamente chiaro e conseguente, che vanno dal radicalismo religioso a un naturalismo scientifico, di cui è simbolo indicativo il paragone che il mugnaio istituisce fra la terra abitata e il formaggio pieno di vermi. Una cosmogonia popolare che apre la porta ad aspirazioni utopistiche di rinnovamento sociale, ad attese millenarie di giustizia. Attraverso la sua brillante, paziente ricerca, Ginzburg offre un frammento perduto del passato, capace d'inserirsi ""in una sottile, contorta, ma ben netta linea di sviluppo che arriva fino a noi"".",History / Renaissance,fa958ef22d7ce0195991a080654aba42
30,"Francisci, Denis",MacIne Per Cereali Dalla Val Di Non. Dal Manufatto Alla Storia,9788871404578,Quasar,2011-01-01,"Romanzi,",,184,,Social Science / Archaeology,058f68344e97ce1ea9c96f1bc9197412
31,"Piccoli, Fausta|Zanotti, Nicola","Il Maestro Di Sommacampagna. Vicende Di Una Bottega Itinerante Tra Trentino, Lombardia E Veneto Nel Secondo Trecento",9788887439342,Nitida Immagine,2012-12,"Romanzi,",,224,,Art / Techniques / Painting,569255c2fe1c245846cb2c765ebf4a3b
32,"Canetti, Elias|Zagari, Bianca|Zagari, Luciano",Auto Da Fé,9788845916540,Adelphi,2001-01-01,"Romanzi,",,548,"Romanzo primo e ultimo di Canetti, narra l'incrociarsi delle vite di Kien, misantropo e profondo amatore dei testi antichi e Therese, la sua governante, dura e meschina. Da una parte un grande studioso, Kien, che ritiene superflui i contatti con il mondo e ama in fondo una cosa sola: i libri. Dall'altra la sua governante, Therese, che raccoglie in sé le più raffinate essenze della meschinità umana. Il romanzo racconta l'incrociarsi di queste due remote traiettorie e ciò che ne consegue: la minuziosa, feroce vendetta della vita su Kien, che aveva voluto eluderla con la stessa accuratezza con cui analizzava un testo antico.",Fiction / General,9ab47ced955b78c8aec3133c8ebcd413
